one,two,three,four,five
1546,米饭,mǐ fàn,"1. (cooked) rice
",34
1547,类型,lèi xíng,"1. type
2. category
3. genre
4. form
5. style
",42
1548,粗糙,cū cāo,"1. crude
2. gruff
3. rough
4. coarse
",11
1549,粗鲁,cū lǔ,"1. coarse
2. crude (in one's manner)
3. boorish
",13
1550,粘贴,zhān tiē,"1. to stick
2. to affix
3. to adhere
4. to paste (as in ""copy and paste"")
5. Taiwan pr. [nian2 tie1]
6. also written 黏貼|黏贴[nian2 tie1]
",11
1551,粮食,liáng shi,"1. foodstuff
2. cereals
3. CL:種|种[zhong3]
",20
1552,精力,jīng lì,"1. energy
",14
1553,精神,jīng shén,"1. spirit
2. mind
3. consciousness
4. thought
5. mental
6. psychological
7. essence
8. gist
9. CL:個|个[ge4]
10. vigor
11. vitality
12. drive
13. spiritual
",12
1554,糊涂,hú tu,"1. muddled
2. silly
3. confused
",20
1555,糖,táng,"1. sugar
2. sweets
3. candy
4. CL:顆|颗[ke1],塊|块[kuai4]
5. old variant of 糖[tang2]
",2
1556,糟糕,zāo gāo,"1. too bad
2. how terrible
3. what bad luck
4. terrible
5. bad
",11
1557,系,xì,"1. to connect
2. to relate to
3. to tie up
4. to bind
5. to be (literary)
6. system
7. department
8. faculty
9. to tie
10. to fasten
11. to button up
12. to connect
13. to arrest
14. to worry
",4
1558,系统,xì tǒng,"1. system
2. CL:個|个[ge4]
",43
1559,紧急,jǐn jí,"1. urgent
2. emergency
",32
1560,紫,zǐ,"1. purple
2. violet
3. amethyst
4. Lithospermum erythrorhizon (flowering plant whose root provides red purple dye)
5. Japanese: murasaki
",3
1561,繁华,fán huá,"1. flourishing
2. bustling
",22
1562,繁忙,fán máng,"1. busy
2. bustling
",22
1563,繁殖,fán zhí,"1. to breed
2. to reproduce
3. to propagate
",22
1564,繁荣,fán róng,"1. prosperous
2. booming (economy)
",22
1565,约会,yuē huì,"1. appointment
2. engagement
3. date
4. CL:次[ci4],個|个[ge4]
5. to arrange to meet
",14
1566,纪录,jì lù,"1. variant of 記錄|记录[ji4 lu4]
",44
1567,纪律,jì lǜ,"1. discipline
",44
1568,纪念,jì niàn,"1. to commemorate
2. to remember
3. CL:個|个[ge4]
",44
1569,纯洁,chún jié,"1. pure
2. clean and honest
3. to purify
",22
1570,纯粹,chún cuì,"1. pure
2. unadulterated
3. purely
4. completely
",24
1571,纷纷,fēn fēn,"1. one after another
2. in succession
3. one by one
4. continuously
5. diverse
6. in profusion
7. numerous and confused
8. pell-mell
",11
1572,组,zǔ,"1. surname Zu
2. to form
3. to organize
4. group
5. team
6. classifier for sets, series, groups of people, batteries
",3
1573,组合,zǔ hé,"1. to assemble
2. combination
3. combinatorial
",32
1574,组成,zǔ chéng,"1. to form
2. to make up
3. to constitute
",32
1575,组织,zǔ zhī,"1. to organize
2. organization
3. organized system
4. nerve
5. tissue
6. CL:個|个[ge4]
",31
1576,细节,xì jié,"1. details
2. particulars
",42
1577,经典,jīng diǎn,"1. the classics
2. scriptures
3. classical
4. classic (example, case etc)
5. typical
",13
1578,经商,jīng shāng,"1. to trade
2. to carry out commercial activities
3. in business
",11
1579,经营,jīng yíng,"1. to engage in (business etc)
2. to run
3. to operate
",12
1580,绑架,bǎng jià,"1. to kidnap
2. to abduct
3. to hijack
4. a kidnapping
5. abduction
6. staking
",34
1581,结合,jié hé,"1. to combine
2. to link
3. to integrate
4. binding
5. CL:次[ci4]
",22
1582,结实,jiē shi,"1. to bear fruit
2. rugged
3. sturdy
4. strong
5. durable
6. buff (physique)
",10
1583,结构,jié gòu,"1. structure
2. composition
3. makeup
4. architecture
5. CL:座[zuo4],個|个[ge4]
",24
1584,结论,jié lùn,"1. conclusion
2. verdict
3. CL:個|个[ge4]
4. to conclude
5. to reach a verdict
",24
1585,结账,jié zhàng,"1. to pay the bill
2. to settle accounts
3. also written 結帳|结帐
",24
1586,绕,rào,"1. to wind
2. to coil (thread)
3. to rotate around
4. to spiral
5. to move around
6. to go round (an obstacle)
7. to by-pass
8. to make a detour
9. to confuse
10. to perplex
11. variant of 繞|绕[rao4], to rotate around
12. to spiral
13. to move around
14. to go round (an obstacle)
15. to by-pass
16. to make a detour
",4
1587,绝对,jué duì,"1. absolute
2. unconditional
",24
1588,统一,tǒng yī,"1. to unify
2. to unite
3. to integrate
",31
1589,绳子,shéng zi,"1. cord
2. string
3. rope
4. CL:條|条[tiao2]
",20
1590,维修,wéi xiū,"1. maintenance (of equipment)
2. to protect and maintain
",21
1591,综合,zōng hé,"1. comprehensive
2. composite
3. synthesized
4. mixed
5. to sum up
6. to integrate
7. to synthesize
",12
1592,缓解,huǎn jiě,"1. to bring relief
2. to alleviate (a crisis)
3. to dull (a pain)
",33
1593,编织,biān zhī,"1. to weave
2. to knit
3. to plait
4. to braid
5. (fig.) to create (sth abstract, e.g. a dream, a lie etc)
",11
1594,编辑,biān jí,"1. to edit
2. to compile
3. editor
4. compiler
",12
1595,缠绕,chán rào,"1. twisting
2. to twine
3. to wind
4. to pester
5. to bother
",24
1596,缩短,suō duǎn,"1. to curtail
2. to cut down
",13
1597,缺乏,quē fá,"1. to lack
2. to be short of
3. lack
4. shortage
",12
1598,缺少,quē shǎo,"1. lack
2. shortage of
3. shortfall
4. to be short (of)
5. to lack
",13
1599,缺点,quē diǎn,"1. weak point
2. fault
3. shortcoming
4. disadvantage
5. CL:個|个[ge4]
",13
1600,网球,wǎng qiú,"1. tennis
2. tennis ball
3. CL:個|个[ge4]
",32
1601,网站,wǎng zhàn,"1. website
2. network station
3. node
",34
1602,网络,wǎng luò,"1. Internet
2. network (computing, telecommunications, transport etc)
",34
1603,罚款,fá kuǎn,"1. to fine
2. penalty
3. fine (monetary)
",23
1604,罢工,bà gōng,"1. a strike
2. to go on strike
",41
1605,美术,měi shù,"1. art
2. fine arts
3. painting
4. CL:種|种[zhong3]
",34
1606,羡慕,xiàn mù,"1. to envy
2. to admire
",44
1607,群,qún,"1. variant of 群[qun2]
2. group
3. crowd
4. flock, herd, pack etc
",2
1608,翅膀,chì bǎng,"1. wing
2. CL:個|个[ge4],對|对[dui4]
",43
1609,翻,fān,"1. to turn over
2. to flip over
3. to overturn
4. to rummage through
5. to translate
6. to decode
7. to double
8. to climb over or into
9. to cross
10. variant of 翻[fan1]
",1
1610,老婆,lǎo pó,"1. (coll.) wife
",32
1611,老实,lǎo shi,"1. honest
2. sincere
3. well-behaved
4. open and guileless
5. naive
",30
1612,老师,lǎo shī,"1. teacher
2. CL:個|个[ge4],位[wei4]
",31
1613,老板,Lǎo bǎn,"1. variant of 老闆|老板[lao3 ban3]
2. Robam (brand)
3. boss
4. business proprietor
5. CL:個|个[ge4]
",33
1614,老鼠,lǎo shǔ,"1. rat
2. mouse
3. CL:隻|只[zhi1]
",33
1615,而已,ér yǐ,"1. that's all
2. nothing more
",23
1616,耳环,ěr huán,"1. earring
2. CL:隻|只[zhi1],對|对[dui4]
",32
1617,耽误,dān wu,"1. to delay
2. to hold up
3. to waste time
4. to interfere with
",10
1618,职业,zhí yè,"1. occupation
2. profession
3. vocation
4. professional
",24
1619,联合,lián hé,"1. to combine
2. to join
3. unite
4. alliance
",22
1620,肌肉,jī ròu,"1. muscle
2. flesh
",14
1621,股票,gǔ piào,"1. share certificate
2. stock (finance)
",34
1622,肥皂,féi zào,"1. soap
2. CL:塊|块[kuai4],條|条[tiao2]
",24
1623,肩膀,jiān bǎng,"1. shoulder
",13
1624,胃,wèi,"1. stomach
2. CL:個|个[ge4]
",4
1625,胃口,wèi kǒu,"1. appetite
2. liking
",43
1626,胆怯,dǎn qiè,"1. timid
2. cowardly
",34
1627,背,bèi,"1. variant of 背[bei1]
2. to be burdened
3. to carry on the back or shoulder
4. the back of a body or object
5. to turn one's back
6. to hide something from
7. to learn by heart
8. to recite from memory
9. unlucky (slang)
10. hard of hearing
",4
1628,背叛,bèi pàn,"1. to betray
",44
1629,背景,bèi jǐng,"1. background
2. backdrop
3. context
4. CL:種|种[zhong3]
",43
1630,背诵,bèi sòng,"1. to recite
2. to repeat from memory
",44
1631,胜利,shèng lì,"1. victory
2. CL:個|个[ge4]
",44
1632,胡同,hú tòng,"1. lane
2. alley
3. CL:條|条[tiao2]
4. variant of 胡同[hu2 tong4]
",24
1633,胡说,hú shuō,"1. to talk nonsense
2. drivel
",21
1634,胶水,jiāo shuǐ,"1. glue
",13
1635,胸,xiōng,"1. variant of 胸[xiong1]
2. chest
3. bosom
4. heart
5. mind
6. thorax
",1
1636,能干,néng gàn,"1. capable
2. competent
",24
1637,能源,néng yuán,"1. energy
2. power source
3. CL:個|个[ge4]
",22
1638,脆弱,cuì ruò,"1. weak
2. frail
",44
1639,脏,zàng,"1. viscera
2. (anatomy) organ
3. dirty
4. filthy
",4
1640,脑袋,nǎo dài,"1. head
2. skull
3. brains
4. mental capability
5. CL:顆|颗[ke1],個|个[ge4]
",34
1641,脖子,bó zi,"1. neck
2. CL:個|个[ge4]
",20
1642,脱,tuō,"1. to shed
2. to take off
3. to escape
4. to get away from
",1
1643,腰,yāo,"1. waist
2. lower back
3. pocket
4. middle
5. loins
",1
1644,臂,bì,"1. arm
",4
1645,自从,zì cóng,"1. since (a time)
2. ever since
",42
1646,自信,zì xìn,"1. to have confidence in oneself
2. self-confidence
",44
1647,自动,zì dòng,"1. automatic
2. voluntarily
",44
1648,自愿,zì yuàn,"1. voluntary
",44
1649,自然,zì rán,"1. nature
2. natural
3. naturally
",42
1650,自由,zì yóu,"1. freedom
2. free
3. liberty
4. CL:個|个[ge4]
",42
1651,自私,zì sī,"1. selfish
2. selfishness
",41
1652,自觉,zì jué,"1. conscious
2. aware
3. on one's own initiative
4. conscientious
",42
1653,自豪,zì háo,"1. proud (of one's achievements etc)
",42
1654,臭,chòu,"1. stench
2. smelly
3. to smell (bad)
4. repulsive
5. loathsome
6. terrible
7. bad
8. severely
9. ruthlessly
10. dud (ammunition)
11. sense of smell
12. smell bad
",4
1655,至于,zhì yú,"1. as for
2. as to
3. to go so far as to
",42
1656,至今,zhì jīn,"1. so far
2. to this day
3. until now
",41
1657,至少,zhì shǎo,"1. at least
2. (to say the) least
",43
1658,舅舅,jiù jiu,"1. mother's brother
2. maternal uncle (informal)
3. CL:個|个[ge4]
",40
1659,舒适,shū shì,"1. cozy
2. snug
",14
1660,舱,cāng,"1. cabin
2. the hold of a ship or airplane
",1
1661,船舶,chuán bó,"1. shipping
2. boats
",22
1662,良好,liáng hǎo,"1. good
2. favorable
3. well
4. fine
",23
1663,艰巨,jiān jù,"1. arduous
2. terrible (task)
3. very difficult
4. formidable
",14
1664,艰苦,jiān kǔ,"1. difficult
2. hard
3. arduous
",13
1665,色彩,sè cǎi,"1. tint
2. coloring
3. coloration
4. (fig.) flavor
5. character
",43
1666,艺术,yì shù,"1. art
",44
1667,节省,jié shěng,"1. saving
2. to save
3. to use sparingly
4. to cut down on
",23
1668,花生,huā shēng,"1. peanut
2. groundnut
3. CL:粒[li4]
",11
1669,苍白,cāng bái,"1. pale
2. wan
",12
1670,苗条,miáo tiao,"1. (of a woman) slim
2. slender
3. graceful
",20
1671,英俊,yīng jùn,"1. handsome
",14
1672,英雄,yīng xióng,"1. hero
2. CL:個|个[ge4]
",12
1673,范围,fàn wéi,"1. range
2. scope
3. limit
4. extent
5. CL:個|个[ge4]
",42
1674,茶,chá,"1. tea
2. tea plant
3. CL:杯[bei1],壺|壶[hu2]
",2
1675,草案,cǎo àn,"1. draft (legislation, proposal etc)
",34
1676,草率,cǎo shuài,"1. careless
2. negligent
3. sloppy
4. not serious
",34
1677,菜,cài,"1. dish (type of food)
2. vegetable
3. cuisine
4. CL:盤|盘[pan2],道[dao4]
5. (coll.) (one's) type
",4
1678,营业,yíng yè,"1. to do business
2. to trade
",24
1679,营养,yíng yǎng,"1. nutrition
2. nourishment
3. CL:種|种[zhong3]
",23
1680,落后,luò hòu,"1. to fall behind
2. to lag (in technology etc)
3. backward
4. to retrogress
",44
1681,著名,zhù míng,"1. famous
2. noted
3. well-known
4. celebrated
",42
1682,葡萄,pú tao,"1. grape
",20
1683,蔬菜,shū cài,"1. vegetables
2. produce
3. CL:種|种[zhong3]
",14
1684,薄,báo,"1. surname Bo
2. thin
3. cold in manner
4. indifferent
5. weak
6. light
7. infertile
8. meager
9. slight
10. weak
11. ungenerous or unkind
12. frivolous
13. to despise
14. to belittle
15. to look down on
16. to approach or near
17. see 薄荷[bo4 he5]
",2
1685,薄弱,bó ruò,"1. weak
2. frail
",24
1686,虚心,xū xīn,"1. modest
",11
1687,蛇,shé,"1. variant of 蛇[she2]
2. snake
3. serpent
4. CL:條|条[tiao2]
",2
1688,蛋白质,dàn bái zhì,"1. protein
",424
1689,蜜蜂,mì fēng,"1. bee
2. honeybee
3. CL:隻|只[zhi1],群[qun2]
",41
1690,蝴蝶,hú dié,"1. butterfly
2. CL:隻|只[zhi1]
",22
1691,血,xuè,"1. blood
2. colloquial pr. [xie3]
3. CL:滴[di1],片[pian4]
",4
1692,行,xíng,"1. a row
2. series
3. age order (of brothers)
4. profession
5. professional
6. relating to company
7. to walk
8. to go
9. to travel
10. a visit
11. temporary
12. makeshift
13. current
14. in circulation
15. to do
16. to perform
17. capable
18. competent
19. effective
20. all right
21. OK!
22. will do
23. behavior
24. conduct
25. Taiwan pr. [xing4] for the behavior-conduct sense
",2
1693,行业,háng yè,"1. industry
2. business
",24
1694,行为,xíng wéi,"1. action
2. conduct
3. behavior
4. activity
",22
1695,行人,xíng rén,"1. pedestrian
2. traveler on foot
3. passer-by
4. official responsible for arranging audiences with the emperor
",22
1696,行动,xíng dòng,"1. operation
2. action
3. to move
4. mobile
5. CL:個|个[ge4]
",24
1697,补偿,bǔ cháng,"1. to compensate
2. to make up
",32
1698,补充,bǔ chōng,"1. to replenish
2. to supplement
3. to complement
4. additional
5. supplementary
6. CL:個|个[ge4]
",31
1699,补救,bǔ jiù,"1. to remedy
",34
1700,补贴,bǔ tiē,"1. to subsidize
2. subsidy
3. allowance
4. to supplement (one's salary etc)
5. benefit
",31
1701,表决,biǎo jué,"1. to decide by vote
2. to vote
",32
1702,表彰,biǎo zhāng,"1. to honor
2. to commend
3. to cite (in dispatches)
",31
1703,表态,biǎo tài,"1. to declare one's position
2. to say where one stands
",34
1704,表情,biǎo qíng,"1. (facial) expression
2. to express one's feelings
3. expression
",32
1705,表明,biǎo míng,"1. to make clear
2. to make known
3. to state clearly
4. to indicate
5. known
",32
1706,表现,biǎo xiàn,"1. to show
2. to show off
3. to display
4. to manifest
5. expression
6. manifestation
7. show
8. display
9. performance (at work etc)
10. behavior
",34
1707,表达,biǎo dá,"1. to express
2. to convey
",32
1708,表面,biǎo miàn,"1. surface
2. face
3. outside
4. appearance
",34
1709,衬托,chèn tuō,"1. to set off
",41
1710,袜子,wà zi,"1. socks
2. stockings
3. CL:隻|只[zhi1],對|对[dui4],雙|双[shuang1]
",40
1711,被动,bèi dòng,"1. passive
",44
1712,被告,bèi gào,"1. defendant
",44
1713,被子,bèi zi,"1. quilt
2. CL:床[chuang2]
",40
1714,裁判,cái pàn,"1. judgment
2. to referee
3. umpire
4. judge
5. referee
6. CL:個|个[ge4],位[wei4],名[ming2]
",24
1715,裁员,cái yuán,"1. to cut staff
2. to lay off employees
",22
1716,裁缝,cái féng,"1. tailor
2. dressmaker
",22
1717,装,zhuāng,"1. adornment
2. to adorn
3. dress
4. clothing
5. costume (of an actor in a play)
6. to play a role
7. to pretend
8. to install
9. to fix
10. to wrap (sth in a bag)
11. to load
12. to pack
",1
1718,装修,zhuāng xiū,"1. to decorate
2. interior decoration
3. to fit up
4. to renovate
",11
1719,装饰,zhuāng shì,"1. to decorate
2. decoration
3. decorative
4. ornamental
",14
1720,要不,yào bù,"1. otherwise
2. or else
3. how about...?
4. either... (or...)
",44
1721,要是,yào shi,"1. if
",40
1722,观察,guān chá,"1. to observe
2. to watch
3. to survey
4. to examine
5. observation
6. view
7. perspective
8. CL:個|个[ge4]
",12
1723,观念,guān niàn,"1. notion
2. thought
3. concept
4. sense
5. views
6. ideology
7. general impressions
",14
1724,观点,guān diǎn,"1. point of view
2. viewpoint
3. standpoint
4. CL:個|个[ge4]
",13
1725,规则,guī zé,"1. rule
2. regulation
3. rules and regulations
",12
1726,规律,guī lǜ,"1. rule (e.g. of science)
2. law of behavior
3. regular pattern
4. rhythm
5. discipline
",14
1727,规模,guī mó,"1. scale
2. scope
3. extent
4. CL:個|个[ge4]
",12
1728,规矩,guī ju,"1. lit. compass and set square
2. fig. established standard
3. rule
4. customs
5. practices
6. fig. upright and honest
7. well-behaved
",10
1729,角度,jiǎo dù,"1. angle
2. point of view
",34
1730,角色,jué sè,"1. role
2. character in a novel
3. persona
4. also pr. [jiao3 se4]
",24
1731,触犯,chù fàn,"1. to offend
",44
1732,计算,jì suàn,"1. to count
2. to calculate
3. to compute
4. CL:個|个[ge4]
",44
1733,讨厌,tǎo yàn,"1. to dislike
2. to loathe
3. disagreeable
4. troublesome
5. annoying
",34
1734,讨论,tǎo lùn,"1. to discuss
2. to talk over
3. CL:個|个[ge4]
",34
1735,训练,xùn liàn,"1. to train
2. to drill
3. training
4. CL:個|个[ge4]
",44
1736,议论,yì lùn,"1. to comment
2. to talk about
3. to discuss
4. discussion
5. CL:個|个[ge4]
",44
1737,记录,jì lù,"1. to record
2. record (written account)
3. note-taker
4. record (in sports etc)
5. CL:個|个[ge4]
",44
1738,记忆,jì yì,"1. to remember
2. to recall
3. memory
4. CL:個|个[ge4]
",44
1739,讲座,jiǎng zuò,"1. a course of lectures
2. CL:個|个[ge4]
",34
1740,讲究,jiǎng jiu,"1. to pay particular attention to
2. carefully selected for quality
3. tastefully chosen
",30
1741,许多,xǔ duō,"1. many
2. a lot of
3. much
",31
1742,论文,lùn wén,"1. paper
2. treatise
3. thesis
4. CL:篇[pian1]
5. to discuss a paper or thesis (old)
",42
1743,讽刺,fěng cì,"1. to satirize
2. to mock
3. irony
4. satire
5. sarcasm
",34
1744,设备,shè bèi,"1. equipment
2. facilities
3. installations
4. CL:個|个[ge4]
",44
1745,设施,shè shī,"1. facilities
2. installation
",41
1746,设计,shè jì,"1. plan
2. design
3. to design
4. to plan
5. CL:個|个[ge4]
",44
1747,证件,zhèng jiàn,"1. certificate
2. papers
3. credentials
4. document
5. ID
",44
1748,证据,zhèng jù,"1. evidence
2. proof
3. testimony
",44
1749,证明,zhèng míng,"1. proof
2. certificate
3. identification
4. testimonial
5. CL:個|个[ge4]
6. to prove
7. to testify
8. to confirm the truth of
",42
1750,评价,píng jià,"1. to evaluate
2. to assess
",24
1751,诊断,zhěn duàn,"1. diagnosis
2. to diagnose
",34
1752,词汇,cí huì,"1. variant of 詞彙|词汇[ci2 hui4]
2. vocabulary
3. list of words (e.g. for language teaching purposes)
4. word
",24
1753,试卷,shì juàn,"1. examination paper
2. test paper
3. CL:份[fen4],張|张[zhang1]
",44
1754,诗,shī,"1. abbr. for Shijing 詩經|诗经[Shi1 jing1], the Book of Songs
2. poem
3. CL:首[shou3]
4. poetry
5. verse
",1
1755,诚恳,chéng kěn,"1. sincere
2. honest
3. cordial
",23
1756,诚挚,chéng zhì,"1. sincere
2. cordial
",24
1757,话题,huà tí,"1. subject (of a talk or conversation)
2. topic
",42
1758,诞生,dàn shēng,"1. to be born
",41
1759,诞辰,dàn chén,"1. birthday
",42
1760,询问,xún wèn,"1. to inquire
",24
1761,详细,xiáng xì,"1. detailed
2. in detail
3. minute
",24
1762,诧异,chà yì,"1. flabbergasted
2. astonished
",44
1763,语气,yǔ qì,"1. tone
2. manner of speaking
3. mood
4. CL:個|个[ge4]
",34
1764,语法,yǔ fǎ,"1. grammar
",33
1765,语言,yǔ yán,"1. language
2. CL:門|门[men2],種|种[zhong3]
",32
1766,误会,wù huì,"1. to misunderstand
2. to mistake
3. misunderstanding
4. CL:個|个[ge4]
",44
1767,说明,shuō míng,"1. to explain
2. to illustrate
3. to indicate
4. to show
5. to prove
6. explanation
7. directions
8. caption
9. CL:個|个[ge4]
",12
1768,说服,shuì fú,"1. to persuade
2. to convince
3. to talk sb over
4. Taiwan pr. [shui4 fu2]
",42
1769,请求,qǐng qiú,"1. to request
2. to ask
3. request
4. CL:個|个[ge4]
",32
1770,读,dú,"1. comma
2. phrase marked by pause
3. to read
4. to study
5. reading of word (i.e. pronunciation), similar to 拼音[pin1 yin1]
",2
1771,课程,kè chéng,"1. course
2. academic program
3. CL:堂[tang2],節|节[jie2],門|门[men2]
",42
1772,调动,diào dòng,"1. to transfer
2. to maneuver (troops etc)
3. movement of personnel
4. to mobilize
5. to bring into play
",44
1773,调整,tiáo zhěng,"1. to adjust
2. adjustment
3. revision
4. CL:個|个[ge4]
",23
1774,调皮,tiáo pí,"1. naughty
2. mischievous
3. unruly
",22
1775,谈,tán,"1. surname Tan
2. to speak
3. to talk
4. to converse
5. to chat
6. to discuss
",2
1776,谈判,tán pàn,"1. to negotiate
2. negotiation
3. talks
4. conference
5. CL:個|个[ge4]
",24
1777,谦虚,qiān xū,"1. modest
2. self-effacing
3. to make modest remarks
",11
1778,谨慎,jǐn shèn,"1. cautious
2. prudent
",34
1779,豆腐,dòu fu,"1. tofu
2. bean curd
",40
1780,象征,xiàng zhēng,"1. emblem
2. symbol
3. token
4. badge
5. to symbolize
6. to signify
7. to stand for
",41
1781,象棋,xiàng qí,"1. Chinese chess
2. CL:副[fu4]
",42
1782,豪华,háo huá,"1. luxurious
",22
1783,贝壳,bèi ké,"1. shell
2. conch
3. cowry
4. mother of pearl
5. hard outer skin
6. also pr. [bei4 qiao4]
",42
1784,贡献,gòng xiàn,"1. to contribute
2. to dedicate
3. to devote
4. contribution
5. CL:個|个[ge4]
",44
1785,财产,cái chǎn,"1. property
2. assets
3. estate
4. CL:筆|笔[bi3]
",23
1786,财务,cái wù,"1. financial affairs
",24
1787,财富,cái fù,"1. wealth
2. riches
",24
1788,财政,cái zhèng,"1. finances (public)
2. financial
",24
1789,责任,zé rèn,"1. responsibility
2. blame
3. duty
4. CL:個|个[ge4]
",24
1790,责备,zé bèi,"1. to blame
2. to criticize
3. condemnation
4. reproach
",24
1791,败坏,bài huài,"1. to ruin
2. to corrupt
3. to undermine
",44
1792,账户,zhàng hù,"1. bank account
2. online account
",44
1793,质量,zhì liàng,"1. quality
2. (physics) mass
3. CL:個|个[ge4]
",44
1794,贬义,biǎn yì,"1. derogatory sense
2. negative connotation
",34
1795,贬低,biǎn dī,"1. to belittle
2. to disparage
3. to play down
4. to demean
5. to degrade
6. to devalue
",31
1796,贷款,dài kuǎn,"1. a loan
2. CL:筆|笔[bi3]
3. to provide a loan (e.g. bank)
4. to raise a loan (from e.g. a bank)
",43
1797,贸易,mào yì,"1. (commercial) trade
2. CL:個|个[ge4]
",44
1798,资料,zī liào,"1. material
2. resources
3. data
4. information
5. profile (Internet)
6. CL:份[fen4],個|个[ge4]
",14
1799,资格,zī gé,"1. qualifications
2. seniority
",12
1800,资源,zī yuán,"1. Ziyuan county in Guilin 桂林[Gui4 lin2], Guangxi
2. natural resource (such as water or minerals)
3. resource (such as manpower or tourism)
",12
1801,资金,zī jīn,"1. funds
2. funding
3. capital
",11
1802,赌博,dǔ bó,"1. to gamble
",32
1803,赔偿,péi cháng,"1. to compensate
",22
1804,赚,zhuàn,"1. to earn
2. to make a profit
3. to cheat
4. to swindle
",4
1805,赞成,zàn chéng,"1. to approve
2. to endorse
3. (literary) to assist
",42
1806,赞美,zàn měi,"1. to admire
2. to praise
3. to eulogize
",43
1807,赢,yíng,"1. to beat
2. to win
3. to profit
",2
1808,赤字,chì zì,"1. (financial) deficit
2. red letter
",44
1809,赤道,chì dào,"1. equator (of the earth or astronomical body)
",44
1810,赶快,gǎn kuài,"1. at once
2. immediately
",34
1811,赶紧,gǎn jǐn,"1. hurriedly
2. without delay
",33
1812,趁,chèn,"1. to avail oneself of
2. to take advantage of
3. old variant of 趁[chen4]
",4
1813,超级,chāo jí,"1. super-
2. ultra-
3. hyper-
",12
1814,超越,chāo yuè,"1. to surpass
2. to exceed
3. to transcend
",14
1815,趋势,qū shì,"1. trend
2. tendency
",14
1816,趟,tàng,"1. old variant of 趟[tang1]
2. to wade
3. to trample
4. to turn the soil
5. classifier for times, round trips or rows
6. a time
7. a trip
",4
1817,跌,diē,"1. to drop
2. to fall
3. to tumble
4. Taiwan pr. [die2]
",1
1818,踩,cǎi,"1. variant of 踩[cai3]
2. to step on
3. to tread
4. to stamp
5. to press a pedal
6. to pedal (a bike)
",3
1819,蹦,bèng,"1. to jump
2. to bounce
3. to hop
",4
1820,蹬,dēng,"1. to step on
2. to tread on
3. to wear
4. Taiwan pr. [deng4]
",1
1821,蹲,dūn,"1. to crouch
2. to squat
3. to stay (somewhere)
",1
1822,身份,shēn fèn,"1. identity
2. status
3. capacity
4. dignity
5. position
6. rank
",14
1823,身材,shēn cái,"1. stature
2. build (height and weight)
3. figure
",12
1824,躲藏,duǒ cáng,"1. to conceal oneself
2. to go into hiding
3. to take cover
",32
1825,躺,tǎng,"1. to recline
2. to lie down
",3
1826,车厢,chē xiāng,"1. carriage
2. CL:節|节[jie2]
",11
1827,车库,chē kù,"1. garage
",14
1828,转,zhuǎn,"1. see 轉文|转文[zhuai3 wen2]
2. to turn
3. to change direction
4. to transfer
5. to forward (mail)
6. to revolve
7. to turn
8. to circle about
9. to walk about
10. classifier for revolutions (per minute etc): revs, rpm
11. classifier for repeated actions
",3
1829,转变,zhuǎn biàn,"1. to change
2. to transform
3. shift
4. transformation
5. CL:個|个[ge4]
",34
1830,转告,zhuǎn gào,"1. to pass on
2. to communicate
3. to transmit
",34
1831,轮流,lún liú,"1. to alternate
2. to take turns
",22
1832,软,ruǎn,"1. soft
2. flexible
3. variant of 軟|软[ruan3]
",3
1833,软件,ruǎn jiàn,"1. (computer) software
",34
1834,轻,qīng,"1. light
2. easy
3. gentle
4. soft
5. reckless
6. unimportant
7. frivolous
8. small in number
9. unstressed
10. neutral
11. to disparage
",1
1835,轻易,qīng yì,"1. easily
2. lightly
3. rashly
",14
1836,轻松,qīng sōng,"1. light
2. gentle
3. relaxed
4. effortless
5. uncomplicated
6. to relax
7. to take things less seriously
",11
1837,轻视,qīng shì,"1. contempt
2. contemptuous
3. to despise
4. to scorn
5. scornful
",14
1838,辅导,fǔ dǎo,"1. to coach
2. to tutor
3. to give advice (in study)
",33
1839,输,shū,"1. to lose
2. to transport
3. to donate
4. to enter (a password)
",1
1840,输入,shū rù,"1. to import
2. to input
",14
1841,辛苦,xīn kǔ,"1. hard
2. exhausting
3. with much toil
4. thanks for your trouble
",13
1842,辞职,cí zhí,"1. to resign
",22
1843,辣椒,là jiāo,"1. hot pepper
2. chili
",41
1844,辨认,biàn rèn,"1. to recognize
2. to identify
",44
1845,辩护,biàn hù,"1. to speak in defense of
2. to argue in favor of
3. to defend
4. to plead
",44
1846,辩解,biàn jiě,"1. to explain
2. to justify
3. to defend (a point of view etc)
4. to provide an explanation
5. to try to defend oneself
",43
1847,辩论,biàn lùn,"1. debate
2. argument
3. to argue over
4. CL:場|场[chang3],次[ci4]
",44
1848,辩证,biàn zhèng,"1. to investigate
2. dialectical
",44
1849,辫子,biàn zi,"1. plait
2. braid
3. pigtail
4. a mistake or shortcoming that may be exploited by an opponent
5. handle
6. CL:根[gen1],條|条[tiao2]
",40
1850,边境,biān jìng,"1. frontier
2. border
",14
1851,边界,biān jiè,"1. boundary
2. border
",14
1852,边疆,biān jiāng,"1. border area
2. borderland
3. frontier
4. frontier region
",11
1853,边缘,biān yuán,"1. edge
2. fringe
3. verge
4. brink
5. periphery
6. marginal
7. borderline
",12
1854,达到,dá dào,"1. to reach
2. to achieve
3. to attain
",24
